type,breed,age_months,weight,health_status,vaccinated,country,price
Bird,AMERICAN GOLDFINCH,55,0.1,1,1,USA,91.68
Bird,AMERICAN GOLDFINCH,5,0.1,1,1,Canada,130.29
Bird,AMERICAN GOLDFINCH,20,0.1,2,1,Canada,112.87
Bird,AMERICAN GOLDFINCH,9,0.1,2,1,USA,127.51
Bird,AMERICAN GOLDFINCH,12,0.1,0,1,USA,89.0
Bird,AMERICAN GOLDFINCH,38,0.1,0,1,Canada,74.93
Bird,AMERICAN GOLDFINCH,17,0.1,2,1,USA,104.94
Bird,AMERICAN GOLDFINCH,23,0.1,1,1,USA,97.39
Bird,AMERICAN GOLDFINCH,19,0.1,1,1,Canada,89.83
Bird,AMERICAN GOLDFINCH,22,0.1,1,1,Canada,100.78
Bird,AMERICAN GOLDFINCH,3,0.1,0,1,Canada,112.83
Bird,AMERICAN GOLDFINCH,26,0.1,1,1,Canada,83.61
Bird,AMERICAN GOLDFINCH,31,0.1,1,0,USA,66.2
Bird,AMERICAN GOLDFINCH,7,0.1,1,1,USA,115.47
Bird,AMERICAN GOLDFINCH,16,0.1,2,1,Canada,100.46
Bird,AMERICAN GOLDFINCH,18,0.1,2,1,USA,109.09
Bird,AMERICAN GOLDFINCH,30,0.1,1,1,USA,79.44
Bird,AMERICAN GOLDFINCH,21,0.1,1,1,Canada,88.24
Bird,AMERICAN GOLDFINCH,17,0.1,2,1,USA,105.18
Bird,AMERICAN GOLDFINCH,44,0.1,1,1,USA,77.62
Bird,AMERICAN GOLDFINCH,5,0.1,1,1,USA,131.93
Bird,AMERICAN GOLDFINCH,2,0.1,1,1,USA,114.31
Bird,AMERICAN GOLDFINCH,43,0.1,1,0,USA,80.39
Bird,AMERICAN GOLDFINCH,5,0.1,2,1,USA,122.16
Bird,AMERICAN GOLDFINCH,11,0.1,0,1,Canada,98.28
Bird,AMERICAN GOLDFINCH,44,0.1,0,1,Canada,75.17
Bird,AMERICAN GOLDFINCH,34,0.1,1,1,USA,76.79
Bird,AMERICAN GOLDFINCH,40,0.1,0,1,USA,67.76
Bird,AMERICAN GOLDFINCH,14,0.1,2,1,Canada,115.1
Bird,AMERICAN GOLDFINCH,11,0.1,1,1,USA,94.39
Bird,AMERICAN GOLDFINCH,60,0.1,0,1,Canada,77.3
Bird,AMERICAN GOLDFINCH,51,0.1,2,1,Canada,106.52
Bird,AMERICAN GOLDFINCH,6,0.1,2,0,Canada,118.38
